,,,,
Temperatura (°C),Densidad (kg/m³),k (kcal/h°Cm²) x10⁶,Viscocidad Cinematica (m²/s),Pr
0,1.295,0.0196,12.20,0.720
10,1.261,0.0203,13.13,0.717
20,1.226,0.0211,14.07,0.714
30,1.192,0.0218,15.00,0.711
40,1.157,0.0225,15.94,0.708
50,1.123,0.0233,16.87,0.705
60,1.088,0.0240,17.80,0.702
70,1.054,0.0247,18.74,0.699
80,1.019,0.0254,19.67,0.696
90,0.985,0.0262,20.61,0.693
100,0.950,0.0269,21.54,0.690
110,0.930,0.0277,22.67,0.688
120,0.910,0.0284,23.79,0.686
130,0.889,0.0292,24.92,0.684
140,0.869,0.0299,26.04,0.682
150,0.849,0.0307,27.17,0.680
160,0.829,0.0315,28.30,0.678
170,0.809,0.0322,29.42,0.676
180,0.788,0.0330,30.55,0.674
190,0.768,0.0337,31.67,0.672
200,0.748,0.0345,32.80,0.670
210,0.735,0.0352,34.10,0.668
220,0.722,0.0359,35.40,0.666
230,0.709,0.0366,36.70,0.664
240,0.696,0.0373,38.00,0.662
250,0.683,0.0381,39.31,0.660
260,0.669,0.0388,40.61,0.658
270,0.656,0.0395,41.91,0.656
280,0.643,0.0402,43.21,0.654
290,0.630,0.0409,44.51,0.652
300,0.617,0.0416,45.81,0.650
310,0.608,0.0423,47.27,0.649
320,0.599,0.0431,48.72,0.648
330,0.589,0.0438,50.18,0.647
340,0.580,0.0446,51.64,0.646
350,0.571,0.0453,53.10,0.645
360,0.562,0.0460,54.55,0.644
370,0.553,0.0468,56.01,0.643
380,0.543,0.0475,57.47,0.642
390,0.534,0.0483,58.92,0.641
400,0.525,0.0490,60.38,0.640
410,0.518,0.0497,61.97,0.639
420,0.511,0.0505,63.56,0.638
430,0.505,0.0512,65.16,0.637
440,0.498,0.0520,66.75,0.636
450,0.491,0.0527,68.34,0.635
460,0.484,0.0534,69.93,0.634
470,0.477,0.0542,71.52,0.633
480,0.471,0.0549,73.12,0.632
490,0.464,0.0556,74.71,0.631
500,0.457,0.0564,76.30,0.630
510,0.452,0.0571,78.03,0.629
520,0.447,0.0579,79.76,0.628
530,0.441,0.0586,81.49,0.627
540,0.436,0.0593,83.22,0.626
550,0.431,0.0601,84.96,0.625
560,0.426,0.0608,86.69,0.624
570,0.421,0.0616,88.42,0.623
580,0.415,0.0623,90.15,0.622
590,0.410,0.0630,91.88,0.621
600,0.405,0.0638,93.61,0.620
600,0.405,0.0638,93.61,0.620
610,0.401,0.0645,95.46,0.619
620,0.397,0.0652,97.31,0.618
630,0.392,0.0660,99.16,0.617
640,0.388,0.0667,101.01,0.616
650,0.384,0.0674,102.86,0.615
660,0.380,0.0682,104.70,0.614
670,0.376,0.0689,106.55,0.613
680,0.371,0.0696,108.40,0.612
690,0.367,0.0704,110.25,0.611
700,0.363,0.0711,112.10,0.610
710,0.360,0.0718,114.07,0.609
720,0.356,0.0726,116.04,0.608
730,0.353,0.0734,118.01,0.607
740,0.350,0.0741,119.98,0.606
750,0.346,0.0749,121.95,0.605
760,0.343,0.0756,123.92,0.604
770,0.340,0.0764,125.89,0.603
780,0.336,0.0772,127.86,0.602
790,0.333,0.0779,129.83,0.601
800,0.330,0.0787,131.80,0.600
810,0.327,0.0794,133.87,0.599
820,0.324,0.0802,135.94,0.598
830,0.321,0.0809,138.01,0.597
840,0.318,0.0816,140.08,0.596
850,0.315,0.0824,142.15,0.595
860,0.312,0.0831,144.22,0.594
870,0.310,0.0839,146.29,0.593
880,0.307,0.0846,148.36,0.592
890,0.304,0.0853,150.43,0.591
900,0.301,0.0861,152.50,0.590
910,0.298,0.0868,154.68,0.589
920,0.296,0.0876,156.86,0.588
930,0.293,0.0884,159.04,0.587
940,0.291,0.0891,161.22,0.586
950,0.288,0.0899,163.40,0.585
960,0.285,0.0906,165.58,0.584
970,0.283,0.0914,167.76,0.583
980,0.280,0.0922,169.94,0.582
990,0.278,0.0929,172.12,0.581
1000,0.275,0.0937,174.30,0.580
1010,0.273,0.0944,176.58,0.579
1020,0.271,0.0951,178.86,0.578
1030,0.270,0.0959,181.14,0.577
1040,0.268,0.0966,183.42,0.576
1050,0.266,0.0973,185.70,0.575
1060,0.264,0.0981,187.98,0.574
1070,0.262,0.0988,190.26,0.573
1080,0.261,0.0995,192.54,0.572
1090,0.259,0.1003,194.82,0.571
1100,0.257,0.1010,197.10,0.570
1110,0.255,0.1017,199.49,0.569
1120,0.254,0.1025,201.88,0.568
1130,0.252,0.1032,204.27,0.567
1140,0.250,0.1040,206.66,0.566
1150,0.249,0.1047,209.05,0.565
1160,0.247,0.1055,211.44,0.564
1170,0.245,0.1062,213.83,0.563
1180,0.243,0.1070,216.22,0.562
1190,0.242,0.1077,218.61,0.561
1200,0.240,0.1085,221.00,0.560
