,,
"T (k)","h (kj/kg)","%CO2 ORSAT"
0,0,"6%"
10,10.3,"6%"
20,20.6,"6%"
30,30.9,"6%"
40,41.3,"6%"
50,51.6,"6%"
60,62,"6%"
70,72.4,"6%"
80,82.8,"6%"
90,93.2,"6%"
100,103.6,"6%"
110,114.1,"6%"
120,124.5,"6%"
130,135,"6%"
140,145.5,"6%"
150,156,"6%"
160,166.6,"6%"
170,177.1,"6%"
180,187.7,"6%"
190,198.3,"6%"
200,208.9,"6%"
210,219.6,"6%"
220,230.3,"6%"
230,241,"6%"
240,251.7,"6%"
250,262.4,"6%"
260,273.2,"6%"
270,284,"6%"
280,294.8,"6%"
290,305.7,"6%"
300,316.5,"6%"
310,327.4,"6%"
320,338.4,"6%"
330,349.3,"6%"
340,360.3,"6%"
350,371.3,"6%"
360,382.3,"6%"
370,393.4,"6%"
380,404.5,"6%"
390,415.6,"6%"
400,426.7,"6%"
410,437.9,"6%"
420,449.1,"6%"
430,460.3,"6%"
440,471.6,"6%"
450,482.9,"6%"
460,494.2,"6%"
470,505.5,"6%"
480,516.9,"6%"
490,528.3,"6%"
500,539.7,"6%"
510,551.2,"6%"
520,562.6,"6%"
530,574.1,"6%"
540,585.7,"6%"
550,597.2,"6%"
560,608.8,"6%"
570,620.4,"6%"
580,632,"6%"
590,643.7,"6%"
600,655.4,"6%"
610,667.1,"6%"
620,678.8,"6%"
630,690.6,"6%"
640,702.4,"6%"
650,714.2,"6%"
660,726,"6%"
670,737.8,"6%"
680,747.9,"6%"
690,761.6,"6%"
700,773.5,"6%"
710,785.5,"6%"
720,797.4,"6%"
730,809.4,"6%"
740,821.5,"6%"
750,833.5,"6%"
760,845.6,"6%"
770,857.6,"6%"
780,869.7,"6%"
790,881.8,"6%"
800,894,"6%"
810,906.2,"6%"
820,918.3,"6%"
830,930.5,"6%"
840,942.8,"6%"
850,955,"6%"
860,967.3,"6%"
870,979.6,"6%"
880,991.9,"6%"
890,1004.2,"6%"
900,1016.5,"6%"
910,1028.9,"6%"
920,1041.2,"6%"
930,1053.6,"6%"
940,1066,"6%"
950,1078.5,"6%"
960,1090.9,"6%"
970,1103.4,"6%"
980,1115.8,"6%"
990,1128.3,"6%"
1000,1140.8,"6%"
1010,1153.3,"6%"
1020,1165.9,"6%"
1030,1178.4,"6%"
1040,1191,"6%"
1050,1203.6,"6%"
1060,1216.2,"6%"
1070,1228.8,"6%"
1080,1241.4,"6%"
1090,1254,"6%"
1100,1266.7,"6%"
1110,1279.3,"6%"
1120,1292,"6%"
1130,1304.7,"6%"
1140,1317.4,"6%"
1150,1330.1,"6%"
1160,1342.9,"6%"
1170,1355.6,"6%"
1180,1368.4,"6%"
1190,1381.1,"6%"
1200,1393.9,"6%"
1210,1406.7,"6%"
1220,1419.5,"6%"
1230,1432.4,"6%"
1240,1445.2,"6%"
1250,1458,"6%"
1260,1470.9,"6%"
1270,1483.8,"6%"
1280,1496.6,"6%"
1290,1509.5,"6%"
1300,1522.4,"6%"
1310,1535.3,"6%"
1320,1548.3,"6%"
1330,1561.2,"6%"
1340,1574.2,"6%"
1350,1587.1,"6%"
1360,1600.1,"6%"
1370,1613.1,"6%"
1380,1626,"6%"
1390,1639,"6%"
1400,1652.1,"6%"
1410,1665.1,"6%"
1420,1678.1,"6%"
1430,1691.1,"6%"
1440,1704.2,"6%"
1450,1717.2,"6%"
1460,1730.3,"6%"
1470,1743.4,"6%"
1480,1756.5,"6%"
1490,1769.6,"6%"
1500,1782.7,"6%"
1510,1795.8,"6%"
1520,1808.9,"6%"
1530,1822,"6%"
1540,1835.2,"6%"
1550,1848.3,"6%"
1560,1861.5,"6%"
1570,1874.6,"6%"
1580,1887.8,"6%"
1590,1901,"6%"
1600,1914.2,"6%"
1610,1927.4,"6%"
1620,1940.6,"6%"
1630,1953.8,"6%"
1640,1967,"6%"
1650,1980.2,"6%"
1660,1993.5,"6%"
1670,2006.7,"6%"
1680,2019.9,"6%"
1690,2033.2,"6%"
1700,2046.5,"6%"
1710,2059.7,"6%"
1720,2073,"6%"
1730,2086.3,"6%"
1740,2099.6,"6%"
1750,2112.9,"6%"
1760,2126.2,"6%"
1770,2139.5,"6%"
1780,2152.9,"6%"
1790,2166.2,"6%"
1800,2179.5,"6%"
1810,2192.9,"6%"
1820,2206.2,"6%"
1830,2219.6,"6%"
1840,2232.9,"6%"
1850,2246.3,"6%"
1860,2259.7,"6%"
1870,2273.1,"6%"
1880,2286.4,"6%"
1890,2299.8,"6%"
1900,2313.2,"6%"
1910,2326.6,"6%"
1920,2340.1,"6%"
1930,2353.5,"6%"
1940,2366.9,"6%"
1950,2380.3,"6%"
1960,2393.8,"6%"
1970,2407.2,"6%"
1980,2420.7,"6%"
1990,2434.1,"6%"
2000,2447.6,"6%"
,,
0,0,"10%"
10,10.4,"10%"
20,20.9,"10%"
30,31.3,"10%"
40,41.8,"10%"
50,52.3,"10%"
60,62.8,"10%"
70,73.3,"10%"
80,83.9,"10%"
90,94.5,"10%"
100,105.1,"10%"
110,115.7,"10%"
120,126.3,"10%"
130,137,"10%"
140,147.7,"10%"
150,158.4,"10%"
160,169.1,"10%"
170,179.8,"10%"
180,190.6,"10%"
190,201.4,"10%"
200,212.2,"10%"
210,223.1,"10%"
220,233.9,"10%"
230,244.8,"10%"
240,255.7,"10%"
250,266.7,"10%"
260,277.7,"10%"
270,288.7,"10%"
280,299.7,"10%"
290,310.8,"10%"
300,321.9,"10%"
310,333,"10%"
320,344.2,"10%"
330,355.4,"10%"
340,366.6,"10%"
350,377.8,"10%"
360,389.1,"10%"
370,400.4,"10%"
380,411.7,"10%"
390,423.1,"10%"
400,434.4,"10%"
410,445.9,"10%"
420,457.3,"10%"
430,468.8,"10%"
440,480.3,"10%"
450,491.8,"10%"
460,503.4,"10%"
470,515,"10%"
480,526.6,"10%"
490,538.3,"10%"
500,550,"10%"
510,561.7,"10%"
520,573.4,"10%"
530,585.2,"10%"
540,597,"10%"
550,608.8,"10%"
560,620.6,"10%"
570,632.5,"10%"
580,644.4,"10%"
590,656.4,"10%"
600,669.3,"10%"
610,680.3,"10%"
620,692.3,"10%"
